Case Type,Status,Request Received (Year),Request Received (Month),Request Closed (Year),Request Closed (Month),Case Active Days at Closure,Case Active Days (grouped),Closed on Time?,Reason (grouped),Number of Records
FOIA Case,Closed,2018,November,2019,July,175,More than 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2019,January,44,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,January,44,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,June,144,More than 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2018,November,5,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2019,January,42,Up to 60 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,December,25,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,December,20,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,5,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2018,December,20,Up to 20 days used,on time,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2019,September,216,More than 60 days used,late,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,February,57,Up to 60 days used,late,Refused: Other Sec of Act appplied,1
FOIA Case,Closed,2018,November,2018,December,22,Up to 40 days used,late,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2018,November,6,Up to 20 days used,on time,Refused: Full or Partial NCND,1
FOIA Case,Closed,2018,November,2018,November,13,Up to 20 days used,on time,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,February,9,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Case,Closed,2018,November,2019,January,46,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,56,Up to 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,14,Up to 20 days used,on time,Full Disclosure,1
FOIA Case,Closed,2018,November,2019,January,41,Up to 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Complaints,Closed,2018,November,2018,December,23,Up to 40 days used,0,No Information Held on How Closed,1
FOIA Complaints,Closed,2018,November,2019,January,55,Up to 60 days used,0,No Information Held on How Closed,1
FOIA Case,Closed,2018,November,2019,August,195,More than 60 days used,late,Refused: Sec 12 Excess Cost,1
FOIA Case,Closed,2018,November,2019,March,83,More than 60 days used,late,Full Disclosure,1
FOIA Case,Closed,2018,November,2018,December,26,Up to 40 days used,late,Partial Disclosure,1
FOIA Case,Closed,2018,November,2018,November,9,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Case,Closed,2018,November,2018,November,8,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Case,Closed,2018,November,2018,November,0,Up to 20 days used,on time,Refused: Sec 14 Vexatious,1
FOIA Case,Closed,2018,November,2018,November,0,Up to 20 days used,on time,Request Withdrawn by Applicant,1
FOIA Case,Closed,2018,November,2019,January,10,Up to 20 days used,on time,Request Withdrawn by Applicant,1
